PragaDate,DAILY_TMIN,DAILY_TMAX,DAILY_PREC
1978-01-01,-1.6,8.7,0.0
1978-01-02,-0.6,5.2,0.0
1978-01-03,1.6,5.0,15.3
1978-01-04,1.5,8.5,12.0
1978-01-05,-2.5,1.0,0.0
1978-01-06,-6.1,1.4,0.0
1978-01-07,-5.5,9.2,0.0
1978-01-08,-0.3,9.4,0.0
1978-01-09,1.1,7.3,0.0
1978-01-10,0.7,4.1,0.0
1978-01-11,0.5,3.6,0.4
1978-01-12,0.7,4.6,27.7
1978-01-13,0.7,5.9,56.5
1978-01-14,2.0,5.9,1.2
1978-01-15,1.0,7.2,4.3
1978-01-16,0.0,3.3,0.4
1978-01-17,-0.1,4.3,0.1
1978-01-18,-1.3,4.0,0.2
1978-01-19,0.2,2.7,1.7
1978-01-20,-1.7,1.7,0.6
1978-01-21,-0.7,0.3,7.8
1978-01-22,-2.5,3.0,0.0
1978-01-23,-1.7,5.2,0.0
1978-01-24,-2.5,4.8,0.0
1978-01-25,-0.1,8.8,27.2
1978-01-26,-0.3,7.3,0.7
1978-01-27,-3.3,7.5,0.2
1978-01-28,-3.1,4.1,0.5
1978-01-29,-0.7,0.5,60.7
1978-01-30,-3.9,4.5,7.6
1978-01-31,-4.2,4.7,0.6
1978-02-01,-3.7,1.6,0.0
1978-02-02,-2.1,5.0,4.4
1978-02-03,-2.0,5.8,0.2
1978-02-04,-2.7,0.8,0.1
1978-02-05,-4.0,3.4,0.0
1978-02-06,-4.9,3.4,0.0
1978-02-07,-2.8,1.5,0.0
1978-02-08,-3.2,1.4,0.0
1978-02-09,-4.7,2.7,0.0
1978-02-10,-4.6,2.9,4.2
1978-02-11,-1.8,3.4,39.5
1978-02-12,-1.2,3.7,31.9
1978-02-13,-4.0,9.3,3.8
1978-02-14,-2.3,2.4,0.1
1978-02-15,-5.1,2.5,4.5
1978-02-16,-2.5,3.9,1.6
1978-02-17,-3.7,5.5,0.5
1978-02-18,0.9,9.4,1.1
1978-02-19,2.1,6.4,7.5
1978-02-20,0.1,7.9,6.5
1978-02-21,-0.8,3.2,4.2
1978-02-22,1.8,5.5,0.6
1978-02-23,2.2,5.9,0.0
1978-02-24,3.9,10.0,0.0
1978-02-25,5.1,6.7,7.5
1978-02-26,4.9,6.6,83.3
1978-02-27,2.2,10.7,34.7
1978-02-28,3.3,6.8,23.1
1978-03-01,3.0,8.7,3.2
1978-03-02,2.1,11.7,0.0
1978-03-03,2.9,13.7,0.0
1978-03-04,4.1,4.8,0.1
1978-03-05,2.8,5.5,11.4
1978-03-06,2.3,6.8,2.6
1978-03-07,3.2,6.6,1.8
1978-03-08,0.6,10.5,0.0
1978-03-09,0.9,13.2,0.0
1978-03-10,2.0,13.6,0.0
1978-03-11,4.3,14.5,0.0
1978-03-12,6.4,17.4,0.0
1978-03-13,4.7,7.0,0.0
1978-03-14,3.2,7.3,15.5
1978-03-15,2.2,8.9,7.9
1978-03-16,2.0,6.9,10.4
1978-03-17,1.2,5.7,25.3
1978-03-18,0.5,1.7,7.2
1978-03-19,-2.1,5.8,18.0
1978-03-20,-1.4,6.6,0.6
1978-03-21,1.8,11.1,8.3
1978-03-22,0.2,7.2,0.4
1978-03-23,-0.7,4.4,5.1
1978-03-24,-1.7,2.8,33.7
1978-03-25,-3.0,9.6,1.4
1978-03-26,0.0,4.9,0.8
1978-03-27,-1.4,11.2,1.6
1978-03-28,2.1,15.7,0.0
1978-03-29,4.1,13.7,0.0
1978-03-30,5.0,9.0,0.0
1978-03-31,4.4,8.0,0.2
1978-04-01,4.5,9.4,5.3
1978-04-02,4.6,7.7,19.4
1978-04-03,3.9,6.7,2.5
1978-04-04,3.9,11.2,0.0
1978-04-05,3.4,7.7,0.1
1978-04-06,2.6,7.5,2.1
1978-04-07,-0.5,0.6,1.6
1978-04-08,-1.1,2.4,4.1
1978-04-09,-0.6,8.7,1.7
1978-04-10,2.1,6.7,0.0
1978-04-11,3.6,7.9,5.6
1978-04-12,4.9,7.5,42.1
1978-04-13,4.7,5.6,24.3
1978-04-14,1.6,5.9,17.2
1978-04-15,0.7,0.9,36.7
1978-04-16,-0.5,5.3,15.4
1978-04-17,-0.8,5.9,0.4
1978-04-18,-1.6,9.4,1.0
1978-04-19,-0.1,10.6,0.0
1978-04-20,1.9,10.7,0.0
1978-04-21,2.1,9.8,0.0
1978-04-22,3.8,10.5,4.8
1978-04-23,4.2,11.6,0.0
1978-04-24,2.4,9.2,0.4
1978-04-25,2.1,7.8,2.3
1978-04-26,3.7,8.0,4.7
1978-04-27,2.5,8.8,53.1
1978-04-28,2.4,10.4,13.7
1978-04-29,2.9,12.4,0.4
1978-04-30,5.6,11.0,0.0
1978-05-01,8.2,9.4,8.8
1978-05-02,4.3,9.9,4.5
1978-05-03,5.1,14.5,0.0
1978-05-04,5.2,17.2,0.0
1978-05-05,3.7,13.9,0.0
1978-05-06,7.4,12.7,8.5
1978-05-07,4.2,10.7,7.0
1978-05-08,4.1,10.4,2.0
1978-05-09,6.1,13.4,0.6
1978-05-10,6.0,13.3,1.8
1978-05-11,5.0,14.3,1.4
1978-05-12,1.0,12.1,0.1
1978-05-13,4.1,6.9,22.5
1978-05-14,0.9,11.3,16.5
1978-05-15,3.9,11.4,0.0
1978-05-16,4.3,12.6,3.3
1978-05-17,7.7,12.2,1.6
1978-05-18,6.9,18.4,0.0
1978-05-19,9.0,14.8,0.2
1978-05-20,7.1,16.5,0.0
1978-05-21,9.0,16.8,11.9
1978-05-22,9.5,9.9,5.1
1978-05-23,6.7,10.4,25.7
1978-05-24,5.9,14.7,0.4
1978-05-25,6.0,14.6,0.0
1978-05-26,9.0,16.8,2.8
1978-05-27,8.5,11.9,14.2
1978-05-28,7.7,14.8,0.1
1978-05-29,7.9,17.0,0.0
1978-05-30,8.8,16.9,0.0
1978-05-31,9.2,15.6,0.2
1978-06-01,7.9,17.8,1.7
1978-06-02,8.6,20.3,14.8
1978-06-03,10.5,21.1,0.0
1978-06-04,10.7,20.8,0.3
1978-06-05,10.7,22.0,0.0
1978-06-06,11.2,23.6,0.0
1978-06-07,13.0,23.0,0.0
1978-06-08,14.2,20.8,0.0
