PragaDate,DAILY_TMIN,DAILY_TMAX,DAILY_PREC
1980-01-01,-0.6,6.7,0.0
1980-01-02,-4.8,3.6,0.0
1980-01-03,-2.7,5.7,0.0
1980-01-04,-5.0,3.1,0.0
1980-01-05,-2.9,3.0,0.0
1980-01-06,-2.4,2.1,13.8
1980-01-07,-7.2,-0.9,2.1
1980-01-08,-9.9,-1.8,0.0
1980-01-09,-9.6,1.0,0.0
1980-01-10,-4.5,2.2,3.8
1980-01-11,-0.7,2.4,0.0
1980-01-12,-4.3,0.8,0.0
1980-01-13,-2.4,2.2,10.2
1980-01-14,-7.3,0.0,0.0
1980-01-15,-5.8,2.6,10.1
1980-01-16,-3.7,2.2,15.4
1980-01-17,0.1,1.6,5.6
1980-01-18,0.4,4.2,1.7
1980-01-19,0.4,3.3,0.6
1980-01-20,0.8,7.6,1.0
1980-01-21,1.4,5.9,0.0
1980-01-22,-0.2,8.4,0.0
1980-01-23,0.7,7.2,2.0
1980-01-24,2.2,6.0,5.3
1980-01-25,2.1,7.7,0.0
1980-01-26,3.2,5.9,0.0
1980-01-27,-0.7,8.5,2.6
1980-01-28,-0.4,8.2,0.1
1980-01-29,1.0,8.8,0.0
1980-01-30,0.5,8.4,0.0
1980-01-31,2.0,13.7,0.0
1980-02-01,3.5,9.4,0.3
1980-02-02,0.7,11.6,0.0
1980-02-03,4.3,12.2,2.6
1980-02-04,1.7,12.3,0.0
1980-02-05,1.5,9.7,0.0
1980-02-06,0.4,5.6,0.0
1980-02-07,1.4,9.3,0.2
1980-02-08,-1.1,5.3,0.1
1980-02-09,-0.6,6.6,0.0
1980-02-10,-0.8,5.5,0.0
1980-02-11,1.2,6.5,0.0
1980-02-12,1.7,7.7,0.0
1980-02-13,-2.4,7.5,0.0
1980-02-14,-2.2,8.3,0.4
1980-02-15,-0.8,10.8,0.8
1980-02-16,0.4,10.0,0.0
1980-02-17,3.7,10.9,0.1
1980-02-18,-0.4,10.1,0.0
1980-02-19,-2.4,7.3,0.0
1980-02-20,1.7,7.5,0.0
1980-02-21,-1.3,8.0,0.0
1980-02-22,-0.3,7.3,0.0
1980-02-23,-0.2,11.5,0.0
1980-02-24,-0.8,10.6,0.0
1980-02-25,-2.0,11.5,0.0
1980-02-26,0.1,15.1,0.0
1980-02-27,-0.2,15.0,0.0
1980-02-28,-1.4,12.2,0.0
1980-02-29,-1.1,11.8,0.0
1980-03-01,-0.3,12.1,0.0
1980-03-02,2.0,13.0,0.0
1980-03-03,4.2,15.7,0.0
1980-03-04,2.5,12.3,0.0
1980-03-05,-0.1,10.1,0.0
1980-03-06,2.4,9.5,0.0
1980-03-07,4.9,9.4,0.0
1980-03-08,1.1,11.7,3.0
1980-03-09,4.0,11.7,18.9
1980-03-10,2.4,15.8,0.6
1980-03-11,1.5,12.4,0.0
1980-03-12,4.1,14.6,0.0
1980-03-13,4.4,14.0,0.0
1980-03-14,7.0,10.5,0.7
1980-03-15,4.3,10.3,3.3
1980-03-16,4.4,10.3,22.8
1980-03-17,4.8,12.0,3.6
1980-03-18,6.0,15.5,0.0
1980-03-19,2.2,14.8,0.0
1980-03-20,7.7,13.7,0.3
1980-03-21,5.3,14.0,5.1
1980-03-22,5.0,10.8,0.0
1980-03-23,6.4,10.2,11.3
1980-03-24,6.1,12.5,3.3
1980-03-25,4.6,14.1,4.5
1980-03-26,7.7,16.8,0.1
1980-03-27,7.8,12.8,1.9
1980-03-28,7.6,17.9,3.3
1980-03-29,6.7,15.2,0.0
1980-03-30,9.4,16.2,0.4
1980-03-31,4.8,19.4,0.0
1980-04-01,7.1,20.4,0.0
1980-04-02,9.9,20.1,0.0
1980-04-03,7.0,15.1,7.3
1980-04-04,3.9,16.3,1.3
1980-04-05,2.7,12.5,0.0
1980-04-06,0.9,11.9,0.0
1980-04-07,3.0,12.7,0.0
1980-04-08,7.1,16.3,0.0
1980-04-09,5.3,11.7,11.0
1980-04-10,4.5,14.6,2.8
1980-04-11,1.6,16.7,0.0
1980-04-12,2.6,16.6,0.0
1980-04-13,3.0,17.2,0.0
1980-04-14,2.6,18.1,0.0
1980-04-15,4.6,17.7,0.0
1980-04-16,9.7,14.6,0.0
1980-04-17,9.9,17.5,1.8
1980-04-18,9.0,21.0,0.0
1980-04-19,10.1,20.4,0.4
1980-04-20,11.0,14.4,0.0
1980-04-21,3.3,11.1,42.1
1980-04-22,4.2,15.7,0.9
1980-04-23,5.5,15.6,0.0
1980-04-24,5.8,19.5,0.0
1980-04-25,6.6,17.6,0.0
1980-04-26,4.6,17.3,0.0
1980-04-27,5.8,11.5,2.5
1980-04-28,6.7,12.5,0.0
1980-04-29,3.2,18.1,0.0
1980-04-30,4.0,16.2,0.0
1980-05-01,8.1,14.3,4.2
1980-05-02,9.2,20.6,1.7
1980-05-03,8.9,22.7,0.0
1980-05-04,11.2,16.9,0.0
1980-05-05,11.1,14.7,1.2
1980-05-06,10.3,19.5,10.5
1980-05-07,11.7,17.4,9.6
1980-05-08,9.0,22.8,1.1
1980-05-09,10.8,20.2,0.0
1980-05-10,11.5,20.8,1.8
1980-05-11,12.0,21.6,1.2
1980-05-12,8.1,23.0,0.0
1980-05-13,8.9,22.3,0.0
1980-05-14,11.4,16.3,16.4
1980-05-15,10.3,11.2,8.5
1980-05-16,8.2,9.7,7.9
1980-05-17,6.6,10.6,19.4
1980-05-18,7.9,18.6,2.3
1980-05-19,5.1,20.2,0.1
1980-05-20,11.6,21.6,1.0
1980-05-21,9.2,24.2,0.0
1980-05-22,9.5,21.8,0.0
1980-05-23,12.8,14.6,2.8
1980-05-24,11.3,21.0,25.5
1980-05-25,11.0,23.0,0.0
1980-05-26,13.4,23.0,0.2
1980-05-27,12.9,20.3,11.2
1980-05-28,12.5,19.0,13.0
1980-05-29,13.3,21.5,9.1
1980-05-30,10.0,19.6,0.3
1980-05-31,11.0,23.0,5.6
1980-06-01,8.5,20.2,0.0
1980-06-02,9.7,23.8,0.0
1980-06-03,14.3,24.9,0.0
1980-06-04,12.3,26.0,0.0
1980-06-05,12.5,29.2,0.0
1980-06-06,15.2,28.0,0.0
1980-06-07,14.6,27.3,0.0
1980-06-08,16.8,20.1,1.1
1980-06-09,15.9,19.8,2.5
1980-06-10,15.2,23.4,10.1
1980-06-11,14.0,25.3,3.6
1980-06-12,14.0,26.8,0.0
1980-06-13,15.5,29.4,0.0
1980-06-14,15.0,31.1,0.0
1980-06-15,18.3,28.9,0.0
1980-06-16,14.6,29.4,0.0
1980-06-17,14.9,28.0,0.0
1980-06-18,16.7,24.0,0.0
1980-06-19,15.4,26.9,0.0
1980-06-20,14.7,28.7,0.0
1980-06-21,17.0,27.8,0.0
1980-06-22,16.4,24.8,0.0
1980-06-23,18.6,24.1,0.0
1980-06-24,13.6,24.8,0.5
1980-06-25,15.4,24.4,0.0
1980-06-26,14.2,23.8,0.0
1980-06-27,13.5,21.1,2.8
1980-06-28,9.2,25.9,7.7
1980-06-29,14.3,25.3,0.0
1980-06-30,16.4,24.6,0.0
1980-07-01,12.0,25.0,0.0
1980-07-02,15.9,27.2,0.0
1980-07-03,11.6,26.4,0.0
1980-07-04,12.8,30.0,0.0
1980-07-05,16.4,27.0,0.0
1980-07-06,16.2,27.2,0.0
1980-07-07,18.3,28.3,0.0
1980-07-08,20.1,25.1,0.0
1980-07-09,20.7,23.9,0.0
1980-07-10,15.5,26.6,2.2
1980-07-11,14.4,25.0,0.0
1980-07-12,15.8,28.2,0.2
1980-07-13,15.9,29.3,0.0
1980-07-14,15.9,27.6,0.0
1980-07-15,18.3,27.4,0.0
1980-07-16,18.2,27.0,0.0
1980-07-17,17.0,20.9,1.5
1980-07-18,14.4,27.3,9.6
1980-07-19,15.9,31.1,0.0
1980-07-20,17.2,29.6,0.0
1980-07-21,17.7,27.0,0.2
