PragaDate,DAILY_TMIN,DAILY_TMAX,DAILY_PREC
1972-01-01,-0.3,1.4,32.1
1972-01-02,-0.9,1.9,3.7
1972-01-03,-0.2,5.0,47.7
1972-01-04,0.3,5.3,3.5
1972-01-05,-1.5,4.1,5.1
1972-01-06,-3.1,1.7,0.0
1972-01-07,-0.4,4.5,1.3
1972-01-08,0.8,6.8,0.0
1972-01-09,1.8,4.2,0.2
1972-01-10,2.7,5.3,3.2
1972-01-11,3.1,8.7,0.1
1972-01-12,0.9,5.7,0.0
1972-01-13,1.7,2.0,0.1
1972-01-14,-0.3,2.4,0.1
1972-01-15,-0.4,5.1,0.0
1972-01-16,0.1,2.4,0.0
1972-01-17,-1.1,0.0,7.6
1972-01-18,-1.9,2.1,3.2
1972-01-19,-0.4,4.8,3.9
1972-01-20,0.7,11.4,0.0
1972-01-21,0.7,7.3,0.0
1972-01-22,0.4,3.8,0.0
1972-01-23,-3.6,-0.9,0.0
1972-01-24,-3.6,0.4,0.1
1972-01-25,-2.2,-1.3,1.2
1972-01-26,-4.3,-2.1,11.1
1972-01-27,-5.0,-0.7,7.8
1972-01-28,-3.9,-1.9,14.2
1972-01-29,-3.5,1.0,21.2
1972-01-30,-4.4,3.0,14.7
1972-01-31,-3.8,3.1,9.8
1972-02-01,-1.5,2.0,0.4
1972-02-02,-1.7,2.3,0.2
1972-02-03,-0.8,3.9,0.3
1972-02-04,0.6,2.4,24.0
1972-02-05,0.0,3.0,28.1
1972-02-06,0.7,6.4,5.4
1972-02-07,2.0,7.1,0.0
1972-02-08,3.2,8.2,0.0
1972-02-09,2.7,5.0,0.0
1972-02-10,1.8,2.2,17.5
1972-02-11,-0.4,2.9,4.2
1972-02-12,0.4,1.3,73.6
1972-02-13,-1.0,6.8,1.2
1972-02-14,-1.5,5.2,19.0
1972-02-15,0.0,8.8,0.2
1972-02-16,-2.2,7.8,0.0
1972-02-17,-1.1,7.0,0.0
1972-02-18,2.2,6.0,0.0
1972-02-19,1.8,4.9,12.9
1972-02-20,0.8,4.3,12.6
1972-02-21,-1.1,6.4,3.5
1972-02-22,2.5,9.8,0.1
1972-02-23,0.0,10.0,0.0
1972-02-24,3.0,4.1,0.0
1972-02-25,2.0,4.5,14.0
1972-02-26,2.6,6.8,4.6
1972-02-27,3.1,4.8,0.0
1972-02-28,0.2,7.1,4.3
1972-02-29,-0.5,6.3,0.3
1972-03-01,0.3,3.6,2.9
1972-03-02,0.3,6.1,6.1
1972-03-03,-1.5,5.1,0.0
1972-03-04,-1.6,4.3,0.5
1972-03-05,-0.3,3.6,42.4
1972-03-06,0.6,7.2,7.6
1972-03-07,1.5,5.7,1.0
1972-03-08,1.6,6.8,76.2
1972-03-09,2.1,8.6,13.6
1972-03-10,5.4,8.6,0.0
1972-03-11,5.0,7.4,2.2
1972-03-12,4.0,4.6,6.0
1972-03-13,-2.2,4.4,9.1
1972-03-14,-0.3,9.5,0.3
1972-03-15,2.6,14.0,0.0
